1953     1      3.070     2.327      
1953     2      3.323     2.623          
1953     3      3.270     2.747          
1953     4      3.133     2.373          
1954     1      2.957     2.037      
1954     2      2.877     1.633          
1954     3      2.883     1.363          
1954     4      2.887     1.310          
1955     1      2.980     1.613      
1955     2      3.033     1.967          
1955     3      3.100     2.327          
1955     4      3.117     2.833          
1956     1      3.097     3.000      
1956     2      3.263     3.263          
1956     3      3.423     3.350          
1956     4      3.677     3.630          
1957     1      3.700     3.630      
1957     2      3.773     3.683      
1957     3      4.070     3.953      
1957     4      3.997     3.993      
1958     1      3.607     2.917      
1958     2      3.580     1.817      
1958     3      3.870     2.130      
1958     4      4.093     3.213      
1959     1      4.130     3.303      
1959     2      4.353     3.603      
1959     3      4.473     4.193      
1959     4      4.570     4.760      
1960     1      4.553     4.678      
1960     2      4.453     4.073      
1960     3      4.313     3.373      
1960     4      4.320     3.270      
1961     1      4.270     3.013      
1961     2      4.283     2.860      
1961     3      4.437     2.897      
1961     4      4.410     3.057      
1962     1      4.410     3.243 
1962     2      4.297     3.203 
1962     3      4.337     3.333 
1962     4      4.257     3.263 
1963     1      4.197     3.310 
1963     2      4.220     3.317 
1963     3      4.287     3.697 
1963     4      4.333     3.907 
1964     1      4.370     3.950 
1964     2      4.407     3.933 
1964     3      4.410     3.910 
1964     4      4.430     4.063 
1965     1      4.420     4.300 
1965     2      4.443     4.380 
1965     3      4.497     4.380 
1965     4      4.613     4.470 
1966     1      4.813     4.970 
1966     2      5.003     5.427 
1966     3      5.320     5.790 
1966     4      5.383     6.000 
1967     1      5.120     5.450 
1967     2      5.263     4.717 
1967     3      5.617     4.973 
1967     4      6.027     5.303 
1968     1      6.127     5.580 
1968     2      6.253     6.080 
1968     3      6.077     5.963 
1968     4      6.243     5.963 
1969     1      6.700     6.657 
1969     2      6.887     7.540 
1969     3      7.063     8.487 
1969     4      7.467     8.620 
1970     1      7.893     8.553 
1970     2      8.140     8.167 
1970     3      8.220     7.837 
1970     4      7.907     7.293 
